Headline,Source,Published,Link,Sentiment_Score,Sentiment
My Bold Prediction for This Stock Through 2030 - 24/7 Wall St.,Google News,"Thu, 09 Jul 2026 17:00:17 GMT",https://news.google.com/rss/articles/CBMilAFBVV95cUxNUnVfQXBpRVNwOWxPaFNOU2x5NHBJUlhBYjVBMkRSUWxIWWtCY2s0LWNUMzNDR205Mzl4MDNJUG9CTks5ODFmWEgyZmVFd1pXM0lad1R6VkVtZElYNzRhMDNRMkpnc0lJWmx6Q3dTYkxTdzJKWVQySmJVSXMyWDQ5aEo1MzRtajdvYTlIcVl2VjVVSEZa?oc=5,0.3818,Bullish
Is Apple Stock a Buy After Its Recent Pullback? Here's What History Suggests. - Yahoo Finance,Google News,"Tue, 07 Jul 2026 09:04:00 GMT",https://news.google.com/rss/articles/CBMinAFBVV95cUxPRGhEMG4teHhKTjhHcDBxRWcxcGFQRE1PbVZMc3cwcmtXWjNNWmRWeUNGM1NLanBUY3ZsNC0xNFh6cHpIQzJockJZUXpSS2d0TnFmaW5NOF9nS2NMVWFQM3BKbnktVlZvZDhaV2NxblBGWmtCMldiTVFjUGpHVXJUZlIzQXpsd3NFRENCMHJPaVZieVFoTE1HV0lLZ3g?oc=5,0.0,Neutral
AAPL Stock Jumps After Strong Q3 Guidance Shows Signs iPhone Maker Is Resilient To Chip Shortages - Stocktwits,Google News,"Thu, 09 Jul 2026 12:38:53 GMT",https://news.google.com/rss/articles/CBMi2gFBVV95cUxPcXBIQkFLNFhkMlpRMXZrNUsyemQ4dkxaakNDbXJlT09RNDd0aGFYeE4zZXU2eHNKZ0NHTFVLcWZsamhGSk5IY0NqdUp1Z3l5M2xOX2JaRjhQUXJyUW5ZNUtDXzJwMXBVaVdVQ0t3MWFOOG5yRHhCc1hkSmxLQUt2NmFWckt2T1U2eXVFcFlCWlFyb0FobXIwUWNxeWZDbWZsMEQ4NzNhX2JNSDVjT1ZIcUdwS0UtWF84WUtGeXRrV2VqVUFNRmZid1RNT1dySzNTM2VOMEFLTTNDZw?oc=5,0.4019,Bullish
"Trump Made 327 Stock Purchases In Apple (NASDAQ: AAPL), Nvidia (NASDAQ: NVDA), And Other Tech Giants Day Before Tariff Pause - foreignpolicyjournal.com",Google News,"Fri, 10 Jul 2026 21:56:00 GMT",https://news.google.com/rss/articles/CBMi-AFBVV95cUxOcmgwUjBBNUl5c2UxdTBnOC1iWHl4Vl91a2J2QUlDZEJILU5kaHJGUmljX2xmaU94a1BEeVhBazJoRGczQkswbmhiZnpYYnZwUXRMMFhiekY3U2xoeFAyZmRJVHpXY0NMSUxPRUlpV1N6Q0ZJWkVYa25kNGlwRWlpdFpaVEpXVk9uYUJqUmViUDB4WG1tTG9fZ2ViRmd0WGROUVAzRUt0eEdITGxHTE85cWozeDdRdDl0VzcxTnpPanFTMkVwZWhnYkxDbG5FT3k1b202NlVMZHlSNVZ1QlJwRmZyREtianppbHFJd0QyM2tOdlZVRlcwbg?oc=5,0.0,Neutral
Apple Stock (AAPL) Opinions on Memory Chip Procurement Efforts - Quiver Quantitative,Google News,"Thu, 09 Jul 2026 17:34:00 GMT",https://news.google.com/rss/articles/CBMioAFBVV95cUxORnZLd1JLUkdjYnlvdlN2d2NERmJ0cXZlaWduQk5DaHpXYlp1NEdpZU5CbTFUcnhVajk2NTk5OGFYV1lma2JCQzF2QTNBa1dBVldhdWhBdlFwa3NWZ0VidE1hQlItS3lwbkpKalpOakxqYjFYVUo2cnY0NXBkQTBlRlhzdlhscmxDLW1RYThIeWdCektwbVpJdkFtWTd6QmJC?oc=5,0.0,Neutral
Apple (NASDAQ:AAPL) Stock Sits 0.8% Below Wall Street’s Average Target — Then Came the OpenAI Lawsuit - TechStock²,Google News,"Fri, 10 Jul 2026 23:49:22 GMT",https://news.google.com/rss/articles/CBMitgFBVV95cUxPb2dOVnllQzZEVWw4SmFKc0Y4ZDdjano4VTQteU81VnJhMmUxd2lmcnJSajZDbGFTMFRJSFRLbWdVY3ZvMTJ5NlkyZjNFaUtWY01wRjdGMGsxS1JwUkw4ODZPQTVDYTRGLTE2MWlGaE1aX3UzREI5a2ltSFJjMDk5VjI0OXZUY2QzNUZhRXRmeTRRUjFBcFBhZXUwaHNIVXlNLWxvazkxNE1HYzZLdnF4VktQcDZHQQ?oc=5,-0.4588,Bearish
The Real Risk Inside Apple Stock - Trefis,Google News,"Wed, 08 Jul 2026 11:58:22 GMT",https://news.google.com/rss/articles/CBMimwFBVV95cUxNcXo5c2hKRGE3MFU3b2l1SjJnZ0QwcVhOaDllVHJpcUc0WGMtdjhpLUFjN3J2SHpHYTlxbmpQYldKS2p6RDR0M2tYMnR0MTRWZU1IYTZERFRnNlJiTFpqdURsRE56MTV0VG9BTXR0d19NZlR1WTFneTFDaXh4S1hYOXVlTGtKZHprTTlLX08zMXlrOElCWVdweC05MA?oc=5,-0.2732,Bearish
"Apple (AAPL) Lands Broadcom Chip Deal, Is The Stock Fully Priced? - simplywall.st",Google News,"Fri, 10 Jul 2026 08:44:33 GMT",https://news.google.com/rss/articles/CBMivAFBVV95cUxQdVBtaGdDUmxjT1UtTEV2UE1VQlhqNXJCN2tZT0wxOXgtLUNtdFlWQWJjZEl4aWRXWE5Ea09yS2ZzVlRZUmNrT2VGenpjTVZNaUljT2UtTDhrT0dYS0czRGVTZXFMd2dKcnN0MndqSlFkeWxTaXptTVFsZ3pmRkZWZ2xWLWZJNlM3VFdFb2pKZkNUUWRQdGltdXVmVUZ3VzVJVl9GVUlsbl82WGZuZnBzc24wY2VXek5HRW50U9IBwgFBVV95cUxOZDZkbmhyVTZpYUZ5VnZmb1NhaktLMzV0aVg1ZGg0eWhSMlNqV3VIeXN4VGsxUnMtSzBmaHpiY0xwNEdVX3diSnZqdndDU19kelNyQlQ0S1o3dG9ld2dFWjJqVFpKT19ob1A2VVlkcFNNRXR1bU1OVzhEX3QycmdMcTRKa0RHWDVQazBUal9adGhuem85VFdNOW9CWVctdEoyRlNKZGRBV3VpV1hrYU9nVjJmcG5vbFFud0I3dHVnWlktdw?oc=5,0.0,Neutral
AAPL & Broadcom's $30B Deal Boosts AI Chip Strategy: What's Ahead? - The Globe and Mail,Google News,"Fri, 10 Jul 2026 15:44:16 GMT",https://news.google.com/rss/articles/CBMi3AFBVV95cUxNTWl3cmFTSnRQRWR6cndLeGptbWZkRjd6NWdFdXpyTmJYUWVwNHc5WWdGeFI2M043N1IzcVQwOHVxalVLNWRqMHN0dDhMTVpZRUpmVnY1SWxyZ3Q4OElkNk5nQW1WSDhHYU9IR1NKUmotdkFzSzJQbldTbnlSYmdEWnVaN19TZk4zSXRlQm1WZTY3UWtuR3VVSV9wTy02QkFmcGVjWlVFWG9uU1JvOGc1Zno1NXg5RWkxSVRkNTR5X3AwNGcxdktnOW5SanRnWWk3NnNobmZsaGVOa21z?oc=5,0.3182,Bullish
Apple (AAPL) Increases Market Share Amid Declining Global PC Shi - GuruFocus,Google News,"Fri, 10 Jul 2026 09:06:23 GMT",https://news.google.com/rss/articles/CBMiqwFBVV95cUxObGtmUmNyNHNTVXFXWlVGbFRWaEZvcmhMQWIxckhfUG9JRnVlc3ZyaUI1c3BjN3MzWVVncklpU0piOXdYT3hDbS1tZDM2bVptT3hlb1V0MDhwdjdnTUNxYkZORng1T3lsRk5UVzRpQms3M2kzRjF4d1B0Rm1JVW9nSFJJM0ZvblJ5SEFRbnMwTmJ2U3VUR2FyUXk5VHNQMEtmZTliby15bDU4V1U?oc=5,0.296,Bullish
